ProductID,ProductName,Category,Price
101,Widget A,Widgets,15.5
102,Gadget B,Gadgets,20
103,Thingamajig C,Things,18
104,Widget A,Widgets,15.5
105,Gizmo D,Gizmos,25
106,Widget A,Widgets,15.5
107,Gadget B,Gadgets,20
108,Thingamajig C,Things,18
109,Gadget B,Gadgets,20
110,Widget A,widgets,15.5
111,Gadget B,Gadgets,19.99
112,Thingamajig C,things,18
113,Gizmo D,Gizmos,30
114,Widget A,Widgets,15.5
115,Gadget B,Gadgets,21
116,Thingamajig C,Things,18
117,Gizmo D,Gizmos,35
118,Widget A,Widgets,15.5
119,Gadget B,Gadgets,22
120,Thingamajig C,Things,18
121,Widget A,Widgets,15.5
122,Gadget B,Gadgets,19.99
123,Thingamajig C,things,17
124,Gizmo D,Gizmos,30
125,Widget A,Widgets,15.5
126,Gadget B,Gadgets,19.99
127,Thingamajig C,Things,20
128,Gizmo D,Gizmos,35
129,Widget A,Widgets,15.5
130,Gadget B,Gadgets,22
131,Thingamajig C,Things,20
132,Gizmo D,Gizmos,30
133,Widget A,Widgets,15.5
134,Gadget B,Gadgets,19.99
135,Thingamajig C,things,17
136,Gizmo D,Gizmos,32
137,Widget A,Widgets,15.5
138,Gadget B,Gadgets,21
139,Thingamajig C,Things,18
140,Gizmo D,Gizmos,30
141,Widget A,Widgets,15.5
142,Gadget B,Gadgets,19.99
143,Thingamajig C,Things,18
144,Gizmo D,Gizmos,30
145,Widget A,Widgets,15.5
146,Gadget B,Gadgets,20
147,Thingamajig C,Things,18
148,Gizmo D,Gizmos,35
149,Widget A,Widgets,15.5
150,Gadget B,Gadgets,19.99
151,Thingamajig C,Things,18
152,Gizmo D,Gizmos,30
153,Widget A,Widgets,15.5
154,Gadget B,Gadgets,20
155,Thingamajig C,things,18
156,Gizmo D,Gizmos,32
157,Widget A,Widgets,15.5
158,Gadget B,Gadgets,19.99
159,Thingamajig C,Things,18
160,Gizmo D,Gizmos,30
161,Widget A,Widgets,15.5
162,Gadget B,Gadgets,20
163,Thingamajig C,Things,18
164,Gizmo D,Gizmos,35
165,Widget A,Widgets,15.5
166,Gadget B,Gadgets,21
167,Thingamajig C,Things,17
168,Gizmo D,Gizmos,32
169,Widget A,Widgets,15.5
170,Gadget B,Gadgets,19.99
171,Thingamajig C,Things,18
172,Gizmo D,Gizmos,35
173,Widget A,Widgets,15.5
174,Gadget B,Gadgets,20
175,Thingamajig C,things,18
176,Gizmo D,Gizmos,30
177,Widget A,Widgets,15.5
178,Gadget B,Gadgets,21
179,Thingamajig C,Things,17
180,Gizmo D,Gizmos,35
181,Widget A,Widgets,15.5
182,Gadget B,Gadgets,19.99
183,Thingamajig C,Things,18
184,Gizmo D,Gizmos,35
185,Widget A,Widgets,15.5
186,Gadget B,Gadgets,20
187,Thingamajig C,Things,18
188,Gizmo D,Gizmos,30
189,Widget A,Widgets,15.5
190,Gadget B,Gadgets,20
191,Thingamajig C,Things,17
192,Gizmo D,Gizmos,35
193,Widget A,Widgets,15.5
194,Gadget B,Gadgets,20
195,Thingamajig C,Things,18
196,Gizmo D,Gizmos,30
197,Widget A,Widgets,15.5
198,Gadget B,Gadgets,19.99
199,Thingamajig C,Things,18
200,Gizmo D,Gizmos,35
